"Data.Year","X1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
9,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
10,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0.4,0,0.4,0.2,0.2,0.2,0.4,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0
11,1,17,0,0,3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.2,0.2,0.4,0,0,0,0,0,0,0.2,0,0.8,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0
12,1,17,0,0,3,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0.2,0,0.4,0,0,0.2,0.4,0,0.2,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0
13,1,17,0,0,7,0,0,0,0,0,0,0,0,0,0.6,0,0,0.2,0,0.4,0.2,0.8,0,0.2,0.4,0.4,0.6,0,0.6,0,0,0.6,0,0.2,0.4,0,0.2,0,0.2,0,0,0,0,0
14,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.2,0,0.2,0,0,0.4,0,0,0,0.2,0.2,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0
15,1,17,0,0,2,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,17,0,0,4,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.8,0.2,0.4,0,0.4,0.4,0.4,0,0.4,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0
17,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.4,0.4,0,0.6,0.4,0.2,0,0.8,0.2,0.2,0.4,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0
18,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.4,0,0.2,0.2,0.2,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.4,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0
19,1,17,0,0,3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0.2,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
20,1,17,0,0,5,0,0,0,0,0,0,0,0,0.2,0,0.6,0.2,0,0.4,0,0,0,0.2,0.4,0,0,0.4,0.6,0.4,0.2,0,0.2,0.2,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0
21,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.4,0.2,0,0.2,0.2,0.6,0.2,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0
22,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,0.4,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
23,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
24,1,17,0,0,5,0,0,0,0,0,0,0,0.2,0.6,0,0.2,0,0,0.2,0,0,0.4,0.8,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,17,0,0,5,0,0,0,0,0,0,0,0,0.6,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0.2,0.6,0,0.4,0.6,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
26,1,17,0,0,5,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.4,0.4,0,0.2,0.2,0,0.2,0.4,0.6,0,0.4,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
27,1,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0.733333333333333,0.2,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0.6,0.6,0.2,0,0,0,0.85,0.7,0.4,1.05,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,17,0,0,7,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0,1,0.2,0.6,0.2,0,0.2,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0
30,1,17,0,0,4,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0.4,0,0.2,0.4,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0.4,0.2,0,0,0,0,0
31,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0.2,0.2,0.2,0.4,0.2,0.2,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0,0,0,0,0.2,0,0,0,0,0
