"Cell","Year","n"
1,9,2
1,10,4
1,11,4
1,12,4
1,13,6
1,14,4
1,15,2
1,16,5
1,17,5
1,18,5
1,19,3
1,20,5
1,21,4
1,22,3
1,23,3
1,24,6
1,25,4
1,26,5
1,27,3
1,28,6
1,29,5
1,30,4
1,31,5
1,32,6
1,33,7
1,34,7
1,35,6
1,36,6
1,37,8
1,38,5
1,40,6
1,41,6
1,42,3
1,43,5
1,44,6
1,45,5
1,47,2
1,48,6
1,49,7
1,50,8
1,51,6
1,52,6
1,53,7
1,54,8
1,55,5
1,56,6
1,57,7
1,58,6
1,59,5
1,60,6
1,61,7
1,62,6
1,63,5
1,64,5
1,65,5
1,66,7
1,67,4
1,68,5
1,69,7
1,70,7
1,71,4
1,72,4
1,73,4
1,74,4
1,75,4
1,76,5
1,77,7
1,78,4
1,79,6
1,80,4
1,81,4
1,82,3
1,83,2
1,84,4
1,85,4
1,87,2
1,88,5
1,89,3
1,91,2
1,92,5
1,93,4
1,94,3
1,95,3
1,96,6
1,97,6
1,98,3
1,99,2
1,101,4
1,102,4
1,103,2
1,104,3
1,105,6
1,106,4
1,107,2
1,108,3
1,109,5
1,110,2
1,111,6
1,112,4
1,113,5
1,114,2
1,115,3
1,116,4
1,117,4
1,118,3
1,119,4
1,120,6
1,121,6
1,122,7
1,123,5
1,124,6
1,125,4
1,126,7
1,127,7
1,128,5
1,129,5
1,130,4
1,131,6
1,132,7
1,133,7
1,134,7
1,135,7
1,136,3
1,137,6
1,138,6
1,139,8
1,140,4
1,141,4
1,142,7
1,143,3
1,144,5
1,145,6
1,146,6
1,147,4
1,148,3
1,149,6
1,150,5
1,152,2
1,153,7
1,154,2
1,155,5
1,156,4
1,157,6
1,158,2
1,159,7
1,160,4
1,161,8
1,162,3
1,163,3
1,164,6
1,165,5
1,166,2
1,168,2
1,169,4
1,170,3
1,171,3
1,172,5
1,173,3
1,174,4
1,175,2
1,176,3
1,177,3
1,178,2
1,180,3
1,181,4
1,182,2
1,184,5
1,185,3
1,186,6
1,187,6
1,189,4
1,190,2
1,193,4
1,194,2
1,195,6
1,196,4
1,197,4
1,198,2
1,199,2
1,200,2
1,203,2
1,204,4
1,205,3
1,208,4
1,210,3
1,211,4
1,212,3
1,214,4
1,215,4
1,217,3
1,218,4
1,219,6
1,220,4
1,221,4
1,222,2
1,223,4
1,224,5
1,225,4
1,226,2
1,229,2
1,231,3
1,232,2
1,238,3
