"Cell","Year","n"
1,121,6
1,122,4
1,124,6
1,125,7
1,126,7
1,127,7
1,128,7
1,129,8
1,130,12
1,131,8
1,132,9
1,133,9
1,134,8
1,135,6
1,136,9
1,137,9
1,138,7
1,139,6
1,140,9
1,141,10
1,142,7
1,143,5
1,144,8
1,145,10
1,146,8
1,147,8
1,148,9
1,149,8
1,150,9
1,151,7
1,152,11
1,153,9
1,154,9
1,155,8
1,156,9
1,157,10
1,158,11
1,159,9
1,160,11
1,161,10
1,162,10
1,163,8
1,164,8
1,165,10
1,166,7
1,167,8
1,168,10
1,169,10
1,170,9
1,171,8
1,172,11
1,173,11
1,174,9
1,175,10
1,176,11
1,177,10
1,178,9
1,179,8
1,180,12
1,181,10
1,182,8
1,183,11
1,184,13
1,185,11
1,186,10
1,187,10
1,188,12
1,189,11
1,190,11
1,191,12
1,192,12
1,193,12
1,194,11
1,195,11
1,196,12
1,197,11
1,198,11
1,199,9
1,200,11
1,201,11
1,202,11
1,203,12
1,204,13
1,205,12
1,206,11
1,207,10
1,208,11
1,209,9
1,210,11
1,211,12
1,212,12
1,213,12
1,214,10
1,215,9
1,216,11
1,217,12
1,218,10
1,219,11
1,220,13
1,221,10
1,222,10
1,223,11
1,224,12
1,225,11
1,226,11
1,227,12
1,228,12
1,229,12
1,230,11
1,231,10
1,232,12
1,233,12
1,234,9
1,235,10
1,236,11
1,237,9
1,238,10
1,239,9
1,240,11
1,241,10
1,242,10
1,243,11
1,244,12
1,245,10
1,246,9
1,247,11
1,248,11
1,249,11
1,250,10
1,251,10
1,252,10
1,253,11
1,254,10
1,255,10
1,256,12
2,130,2
2,133,2
2,134,3
2,137,2
2,138,3
2,139,2
2,141,2
2,142,3
2,146,4
2,150,3
2,153,3
2,154,3
2,157,3
2,158,3
2,161,2
2,162,5
2,166,5
2,169,3
2,170,6
2,173,5
2,174,5
2,177,3
2,178,5
2,181,3
2,182,5
2,183,2
2,185,5
2,186,5
2,189,3
2,190,5
2,191,2
2,193,4
2,194,5
2,197,3
2,198,5
2,201,4
2,202,5
2,205,3
2,206,2
2,211,2
2,214,3
2,218,2
2,222,4
2,225,4
2,226,5
2,229,3
2,230,5
2,233,3
2,234,5
2,237,5
2,238,4
2,240,2
2,241,3
2,242,5
2,245,3
2,246,5
2,247,2
2,249,3
2,250,5
2,253,5
2,254,4
4,161,2
4,168,3
4,169,3
4,172,2
4,173,2
4,174,5
4,176,3
4,178,7
4,179,3
4,180,6
4,181,2
4,184,5
4,185,9
4,186,8
4,187,6
4,188,8
4,189,7
4,192,6
4,193,5
4,196,4
4,197,2
4,201,3
4,204,2
4,208,2
4,212,5
4,216,3
4,217,2
4,220,5
4,224,3
4,225,3
4,226,2
4,228,4
4,229,4
4,230,5
4,231,4
4,232,7
4,233,7
4,234,7
4,235,6
4,236,6
4,237,4
4,238,3
4,245,5
4,246,6
4,247,3
4,248,6
4,249,5
4,252,8
