"Cell","Year","n"
1,10,2
1,11,2
1,12,2
1,13,4
1,14,3
1,15,2
1,16,4
1,17,4
1,18,4
1,19,2
1,20,4
1,21,2
1,22,2
1,23,2
1,24,4
1,25,3
1,26,4
1,27,2
1,28,4
1,29,4
1,30,3
1,31,2
1,32,5
1,33,4
1,34,5
1,35,4
1,36,5
1,37,5
1,38,4
1,40,5
1,41,4
1,42,2
1,43,2
1,44,5
1,45,3
1,48,4
1,49,5
1,50,4
1,51,4
1,52,4
1,53,4
1,54,5
1,55,4
1,56,4
1,57,5
1,58,4
1,59,4
1,60,5
1,61,4
1,62,2
1,63,2
1,64,4
1,65,4
1,66,5
1,67,2
1,68,4
1,69,5
1,70,4
1,71,2
1,72,3
1,73,2
1,74,3
1,75,2
1,76,4
1,77,3
1,78,3
1,79,3
1,80,2
1,81,2
1,84,2
1,85,3
1,92,2
1,93,3
1,95,2
1,96,4
1,97,4
1,101,2
1,102,4
1,105,4
1,106,2
1,109,3
1,111,4
1,112,2
1,113,3
1,114,2
1,116,2
1,117,3
1,119,2
1,120,4
1,121,5
1,122,3
1,123,2
1,124,4
1,125,3
1,126,3
1,127,3
1,128,3
1,129,4
1,130,2
1,131,2
1,132,5
1,133,4
1,135,4
1,136,2
1,137,5
1,138,3
1,139,4
1,140,2
1,141,3
1,142,4
1,143,2
1,144,4
1,145,4
1,146,3
1,147,2
1,148,2
1,149,2
1,150,2
1,153,2
1,155,2
1,156,2
1,157,5
1,159,2
1,160,3
1,161,2
1,163,2
1,164,3
1,170,2
1,171,2
1,172,4
1,173,2
1,174,3
1,177,2
1,180,2
1,181,3
1,184,3
1,185,2
1,186,3
1,187,3
1,193,3
1,195,4
1,196,3
1,204,4
1,205,3
1,217,2
1,219,2
1,220,2
1,221,2
1,224,2
1,225,2
1,226,2
2,13,2
2,24,2
2,28,2
2,31,2
2,32,2
2,33,2
2,35,2
2,36,2
2,43,2
2,44,2
2,50,3
2,51,2
2,54,3
2,56,2
2,58,3
2,69,2
2,70,3
2,77,2
2,88,2
2,92,2
2,96,2
2,97,2
2,110,2
2,111,2
2,120,2
2,122,2
2,126,2
2,127,2
2,131,2
2,132,2
2,133,2
2,134,4
2,135,2
2,138,2
2,139,4
2,142,2
2,145,2
2,146,2
2,149,2
2,150,2
2,153,3
2,155,3
2,159,4
2,161,4
2,162,2
2,164,2
2,165,2
2,166,2
2,168,2
2,169,2
2,171,2
2,174,2
2,178,2
2,182,2
2,186,2
2,187,2
2,189,2
2,190,2
2,195,2
2,197,2
2,198,2
2,199,2
2,200,2
2,203,2
2,208,4
2,210,2
2,211,4
2,214,4
2,215,4
2,217,2
2,218,4
2,219,2
2,220,2
2,221,2
2,222,2
2,223,3
2,224,2
2,225,2
2,231,3
2,232,2
2,238,3
3,37,2
3,53,2
3,62,2
3,66,2
3,67,2
3,70,2
3,77,2
3,79,2
3,134,2
3,146,2
3,162,2
3,208,2
3,210,2
3,223,2
4,9,2
4,10,3
4,11,3
4,12,3
4,13,3
4,14,2
4,16,2
4,17,3
4,18,3
4,19,2
4,20,3
4,21,3
4,22,2
4,23,2
4,24,2
4,25,3
4,26,2
4,27,2
4,28,3
4,29,3
4,30,2
4,31,3
4,32,2
4,33,3
4,34,4
4,35,2
4,36,2
4,37,3
4,38,2
4,40,3
4,41,3
4,42,2
4,43,2
4,44,4
4,45,4
4,47,2
4,48,3
4,49,4
4,50,3
4,51,3
4,52,4
4,53,4
4,54,3
4,55,2
4,56,3
4,57,4
4,59,2
4,60,3
4,61,4
4,62,4
4,63,4
4,64,3
4,65,3
4,66,2
4,68,2
4,69,3
4,70,3
4,71,3
4,72,3
4,73,3
4,74,2
4,75,3
4,76,3
4,77,4
4,78,2
4,79,3
4,80,3
4,81,3
4,82,3
4,83,2
4,84,3
4,85,3
4,87,2
4,88,4
4,89,3
4,91,2
4,92,2
4,93,3
4,94,3
4,95,2
4,96,2
4,97,3
4,98,3
4,99,2
4,101,3
4,103,2
4,104,3
4,105,3
4,106,3
4,107,2
4,108,3
4,109,3
4,111,2
4,112,3
4,113,3
4,115,3
4,116,3
4,117,3
4,118,3
4,119,3
4,120,3
4,121,3
4,122,3
4,123,4
4,124,4
4,125,3
4,126,3
4,127,4
4,128,4
4,129,3
4,130,3
4,131,3
4,132,3
4,133,4
4,134,3
4,135,2
4,136,2
4,137,3
4,138,2
4,139,2
4,140,3
4,141,3
4,142,2
4,143,2
4,144,3
4,145,3
4,146,2
4,147,3
4,148,2
4,149,3
4,150,2
4,152,2
4,153,4
4,154,2
4,156,3
4,157,3
4,158,2
4,159,2
4,160,2
4,161,3
4,163,2
4,164,3
4,165,3
4,169,2
4,170,2
4,172,2
4,173,2
4,175,2
4,176,3
4,177,2
4,180,2
4,181,2
4,184,3
4,185,2
4,186,2
4,187,2
4,189,2
4,193,2
4,194,2
4,195,2
4,196,2
4,197,2
4,212,3
4,219,2
4,220,2
4,221,2
4,224,3
4,225,2
4,229,2
