"Cell","Year","n"
1,121,6
1,122,4
1,124,6
1,125,7
1,126,7
1,127,7
1,128,7
1,129,8
1,130,13
1,131,8
1,132,9
1,133,11
1,134,9
1,135,6
1,136,9
1,137,10
1,138,8
1,139,8
1,140,9
1,141,11
1,142,8
1,143,5
1,144,8
1,145,10
1,146,10
1,147,8
1,148,9
1,149,8
1,150,10
1,151,7
1,152,11
1,153,10
1,154,10
1,155,8
1,156,9
1,157,11
1,158,12
1,159,9
1,160,11
1,161,12
1,162,12
1,163,8
1,164,8
1,165,10
1,166,10
1,167,8
1,168,11
1,169,12
1,170,13
1,171,8
1,172,12
1,173,16
1,174,15
1,175,10
1,176,12
1,177,11
1,178,16
1,179,10
1,180,16
1,181,12
1,182,11
1,183,12
1,184,17
1,185,19
1,186,18
1,187,14
1,188,17
1,189,17
1,190,13
1,191,14
1,192,16
1,193,18
1,194,14
1,195,11
1,196,15
1,197,13
1,198,14
1,199,9
1,200,11
1,201,14
1,202,14
1,203,12
1,204,14
1,205,13
1,206,12
1,207,10
1,208,12
1,209,9
1,210,11
1,211,13
1,212,15
1,213,12
1,214,11
1,215,9
1,216,12
1,217,13
1,218,11
1,219,11
1,220,16
1,221,10
1,222,12
1,223,11
1,224,14
1,225,15
1,226,15
1,227,12
1,228,14
1,229,15
1,230,17
1,231,13
1,232,17
1,233,17
1,234,17
1,235,14
1,236,15
1,237,14
1,238,14
1,239,9
1,240,12
1,241,11
1,242,13
1,243,11
1,244,12
1,245,14
1,246,16
1,247,14
1,248,15
1,249,16
1,250,14
1,251,10
1,252,15
1,253,14
1,254,13
1,255,10
1,256,12
