"Cell","Key","Value","Improvement"
1,"CQrt","124;3",3.84125825736719
1,"Qrt","2",3.49313761923578
1,"CQrt","14;23",2.92535487764253
1,"Qrt","1",1.84400504123545
1,"Qrt","3",1.48777947269743
1,"CQrt","134;2",0.983042897883593
1,"Lat","-32.5",0
1,"Lon","32.5",0
2,"Lon","72.5",6.99821037405468
2,"Lat","-22.5",4.83812893612662
2,"Lat","-2.5",4.4344735448251
2,"Lon","52.5",4.01580928903491
2,"Lat","-32.5",2.75886279736301
2,"CQrt","134;2",1.95842433872349
2,"Lat","-12.5",1.92298691086421
2,"CQrt","124;3",1.79913752697894
2,"Qrt","1",1.7444535075274
2,"Lat","7.5",1.69679834017097
2,"Qrt","3",1.6173076035102
2,"Qrt","2",1.34592051422351
2,"CQrt","14;23",1.15430154821411
