"Cell","Key","Value","Var_explained","Rank"
3,"Lon","72.5",0.050410560380835,1
3,"Lat","-2.5",0.0495475647277271,2
2,"Lat","-32.5",0.0463565110493683,3
3,"Lat","-12.5",0.0450043364323787,4
2,"Lon","52.5",0.043070081753537,5
2,"CQrt","124;3",0.0427512379548342,6
1,"CQrt","134;2",0.0427030753892828,7
3,"Lon","52.5",0.0426777993422049,8
2,"Qrt","3",0.0426471859392659,9
1,"CQrt","14;23",0.0421210373761305,10
1,"Qrt","1",0.0420501232861843,11
2,"Qrt","2",0.0420372953674437,12
3,"Lat","7.5",0.0418379669635671,13
2,"CQrt","134;2",0.0409958056446994,14
2,"CQrt","14;23",0.0408225881685431,15
2,"Lon","72.5",0.0407604026966054,16
1,"Qrt","2",0.0404179682305988,17
3,"CQrt","14;23",0.0400092209185034,18
3,"CQrt","134;2",0.0398843485572379,19
3,"CQrt","124;3",0.0398834097333266,20
1,"CQrt","124;3",0.0398237730261597,21
1,"Qrt","3",0.0397920196636601,22
2,"Qrt","1",0.0391147703542511,23
3,"Qrt","3",0.0389097029925456,24
3,"Qrt","1",0.038769564325765,25
3,"Qrt","2",0.038387453020787,26
1,"Lat","-32.5",0.0378030195875797,27
1,"Lon","32.5",0.0378030195875797,28
