"Key","Value","Var_explained","Rank"
"Lon","42.5",0.0264774559932793,1
"Lat","-27.5",0.022732947137649,2
"Lat","2.5",0.0129695435186139,3
"Lon","62.5",0.010184350478915,4
"Lon","82.5",0.00933953804059698,5
"Lat","-7.5",0.00802377003312485,6
"Lat","-17.5",0.00633698343044493,7
"Lat","12.5",0.00428607545727506,8
"CQrt","124;3",0.00207268451037162,9
"CQrt","14;23",0.00143530157948724,10
"CQrt","134;2",0.00284569305169905,11
"Qrt","1",0.00118287363005,12
"Qrt","2",0.000932779097625134,13
"Qrt","3",0.000845854507792678,14
