"year","quarter","Cell","Total_Catch"
1,1,"1",0
1,1,"2",0
1,1,"3",0
1,1,"4",0
1,2,"1",0
1,2,"2",0
1,2,"3",0
1,2,"4",0
1,3,"1",0
1,3,"2",0
1,3,"3",0
1,3,"4",0
1,4,"1",0
1,4,"2",0
1,4,"3",0
1,4,"4",0
2,1,"1",0
2,1,"2",0
2,1,"3",0
2,1,"4",0
2,2,"1",0
2,2,"2",0
2,2,"3",4612.13410630673
2,2,"4",0
2,3,"1",0
2,3,"2",0
2,3,"3",0
2,3,"4",0
2,4,"1",0
2,4,"2",0
2,4,"3",1033.41354626318
2,4,"4",0
3,1,"1",12.6044077944817
3,1,"2",16.1846746725207
3,1,"3",43965.2418884874
3,1,"4",6025.22562919067
3,2,"1",90.9468352073932
3,2,"2",208.125375398961
3,2,"3",104715.695062973
3,2,"4",24557.9211671982
3,3,"1",28.2878422297914
3,3,"2",8.97655519919032
3,3,"3",100867.700247863
3,3,"4",0
3,4,"1",29.8162963759937
3,4,"2",472.517336202377
3,4,"3",69888.7503432851
3,4,"4",169.928600652062
4,1,"1",311.503480065279
4,1,"2",850.911839690828
4,1,"3",234003.918815782
4,1,"4",2293.34534406525
4,2,"1",1284.45852075409
4,2,"2",398.595727762302
4,2,"3",274279.688807888
4,2,"4",1176.38565510563
4,3,"1",365.526567119409
4,3,"2",117.877311705004
4,3,"3",113940.037212266
4,3,"4",0
4,4,"1",2107.15927325005
4,4,"2",186.528097752598
4,4,"3",160410.695329757
4,4,"4",180.787169608822
5,1,"1",13428.9535743383
5,1,"2",2025.76087715326
5,1,"3",332545.507018494
5,1,"4",1006.06286806463
5,2,"1",2437.1787611358
5,2,"2",226.368237828949
5,2,"3",295023.394014504
5,2,"4",16954.9259242969
5,3,"1",10224.439531526
5,3,"2",221.907206797798
5,3,"3",194458.103644076
5,3,"4",16.7613902120183
5,4,"1",31066.0569289732
5,4,"2",323.815700465202
5,4,"3",155116.141686733
5,4,"4",258.344222441554
6,1,"1",10441.6900361481
6,1,"2",1248.84846582688
6,1,"3",214466.568883877
6,1,"4",1070.28983671474
6,2,"1",4328.15445267822
6,2,"2",8921.63179726231
6,2,"3",104337.321368248
6,2,"4",66677.3361035015
6,3,"1",10414.596922283
6,3,"2",311.107234093923
6,3,"3",61273.2474114345
6,3,"4",2145.60753037374
6,4,"1",416.265170169335
6,4,"2",328.957735829268
6,4,"3",83749.8443037052
6,4,"4",284.125892913217
7,1,"1",512.335348502103
7,1,"2",488.094913177431
7,1,"3",168863.205370654
7,1,"4",6346.00780826349
7,2,"1",3083.04432404277
7,2,"2",470.624605671386
7,2,"3",108377.825561759
7,2,"4",71576.2809207697
7,3,"1",1447.84975573496
7,3,"2",3095.38612512082
7,3,"3",30426.6677588342
7,3,"4",1163.00787088218
7,4,"1",3422.51303687668
7,4,"2",19548.6766582262
7,4,"3",60517.8944253797
7,4,"4",748.493631066242
8,1,"1",662.165302579408
8,1,"2",9825.0301019917
8,1,"3",100372.799636575
8,1,"4",50298.4318222184
8,2,"1",2714.87949889444
8,2,"2",4076.52674292091
8,2,"3",187566.806969523
8,2,"4",7604.54719410072
8,3,"1",14814.1388619363
8,3,"2",5777.67283699823
8,3,"3",60491.6155781719
8,3,"4",43.7656591804845
8,4,"1",687.379595149547
8,4,"2",9359.05586144004
8,4,"3",66591.0304934038
8,4,"4",721.893666995438
9,1,"1",691.336819301347
9,1,"2",6416.43670894185
9,1,"3",194453.447555647
9,1,"4",11680.709708011
9,2,"1",3826.65735529577
9,2,"2",3029.20844253117
9,2,"3",271059.428032541
9,2,"4",9071.62172519393
9,3,"1",15727.3991252852
9,3,"2",12906.0686867136
9,3,"3",70000.2019392214
9,3,"4",38.8187315211807
9,4,"1",6321.86251987722
9,4,"2",7135.74565348211
9,4,"3",157662.434918685
9,4,"4",619.116489575202
10,1,"1",981.822833885024
10,1,"2",4203.32866363594
10,1,"3",160529.747179458
10,1,"4",11058.5806417306
10,2,"1",21906.2639525566
10,2,"2",761.754600138873
10,2,"3",106922.772120039
10,2,"4",12856.5602281443
10,3,"1",33480.2340839884
10,3,"2",13359.8271602082
10,3,"3",91915.6302175611
10,3,"4",36.1541369123263
10,4,"1",18535.9181546797
10,4,"2",28811.4940833354
10,4,"3",201113.176793067
10,4,"4",557.657737887514
11,1,"1",37069.8693074281
11,1,"2",4129.0566060646
11,1,"3",283325.651087581
11,1,"4",4230.00737598966
11,2,"1",63532.3060976592
11,2,"2",5424.19271746216
11,2,"3",154175.114649987
11,2,"4",10067.1616878537
11,3,"1",60057.5472245542
11,3,"2",28721.3214413741
11,3,"3",133251.761220116
11,3,"4",61.3371081126654
11,4,"1",58304.5749165985
11,4,"2",16079.889812886
11,4,"3",194365.462943569
11,4,"4",943.638113522302
12,1,"1",57057.6266581092
12,1,"2",7268.628706688
12,1,"3",107976.929181155
12,1,"4",3229.00011729308
12,2,"1",86626.3593394052
12,2,"2",3188.56139177831
12,2,"3",59504.3364335096
12,2,"4",9996.33175531652
12,3,"1",17719.3111488638
12,3,"2",11387.4130689326
12,3,"3",44912.1850746888
12,3,"4",47.1340367011882
12,4,"1",33474.7721467458
12,4,"2",13609.3525950302
12,4,"3",104244.458677415
12,4,"4",726.493491303051
13,1,"1",17586.4639830892
13,1,"2",3157.03335684757
13,1,"3",111230.870273549
13,1,"4",3699.95624466447
13,2,"1",39692.0869357552
13,2,"2",2943.48193651982
13,2,"3",107825.862440433
13,2,"4",3241.86302055401
13,3,"1",39762.9371417634
13,3,"2",10609.5186535471
13,3,"3",75826.1272106074
13,3,"4",44.7454071761226
13,4,"1",12277.3289061119
13,4,"2",14125.7437122321
13,4,"3",76779.2312755384
13,4,"4",689.485407044549
14,1,"1",26514.7454244433
14,1,"2",3799.54869879269
14,1,"3",146624.31484507
14,1,"4",7206.17426883382
14,2,"1",16559.7992580573
14,2,"2",1395.92343978392
14,2,"3",151270.324188661
14,2,"4",9499.26044970042
14,3,"1",51532.715799938
14,3,"2",4379.86583589542
14,3,"3",98400.8866231843
14,3,"4",34.2252904774109
14,4,"1",15069.0483957628
14,4,"2",12294.992908463
14,4,"3",163257.331548193
14,4,"4",446.596390097708
15,1,"1",12581.0854024546
15,1,"2",2127.84339552262
15,1,"3",272288.499397361
15,1,"4",61715.9292933194
15,2,"1",52916.8781671891
15,2,"2",1178.57764724486
15,2,"3",204327.149219572
15,2,"4",26848.4572109321
15,3,"1",25442.0748082923
15,3,"2",20856.6925828168
15,3,"3",161261.495322577
15,3,"4",40.6909719388123
15,4,"1",46851.9737982984
15,4,"2",17028.1664043096
15,4,"3",227970.407962208
15,4,"4",618.559297348383
16,1,"1",30758.0565456811
16,1,"2",5572.58913875608
16,1,"3",221558.332610291
16,1,"4",35468.2863864297
16,2,"1",84077.3953342597
16,2,"2",7860.78853582435
16,2,"3",146040.606637491
16,2,"4",20047.6283371558
16,3,"1",18573.4406614503
16,3,"2",10251.9311830627
16,3,"3",70939.081051364
16,3,"4",144.916604311062
16,4,"1",7397.28724098413
16,4,"2",14109.0066989478
16,4,"3",176360.196117303
16,4,"4",105.39268182222
17,1,"1",94403.266612972
17,1,"2",6148.24583579918
17,1,"3",766340.550598059
17,1,"4",1982.25297281851
17,2,"1",212249.37840187
17,2,"2",19484.2131974476
17,2,"3",533948.944223586
17,2,"4",8625.01319459687
17,3,"1",133257.669902373
17,3,"2",9388.96517793687
17,3,"3",261507.194387262
17,3,"4",145.574218563901
17,4,"1",25106.1449193747
17,4,"2",6846.02706828758
17,4,"3",380483.858236164
17,4,"4",159.41821974466
18,1,"1",33584.5707398456
18,1,"2",2188.08660811589
18,1,"3",359129.88197341
18,1,"4",162532.316149524
18,2,"1",60276.0635856337
18,2,"2",5014.37454928281
18,2,"3",186691.328310262
18,2,"4",67577.0220816538
18,3,"1",53453.2818627273
18,3,"2",7546.51427948238
18,3,"3",233175.239817028
18,3,"4",99.7455404640195
18,4,"1",51212.5562183544
18,4,"2",7390.0431334533
18,4,"3",330729.53755245
18,4,"4",9108.17369329188
19,1,"1",33081.7035916507
19,1,"2",2713.63723894621
19,1,"3",137166.808476576
19,1,"4",37818.791955248
19,2,"1",30409.3350540368
19,2,"2",882.180688234701
19,2,"3",108808.113090398
19,2,"4",7060.83402968264
19,3,"1",7504.7287064826
19,3,"2",2583.19834307229
19,3,"3",234597.312923014
19,3,"4",54.7883878801857
19,4,"1",8760.22891660577
19,4,"2",11907.8384358076
19,4,"3",172566.652322716
19,4,"4",8031.4897220509
20,1,"1",23446.7019243422
20,1,"2",4896.8927728681
20,1,"3",176669.017922564
20,1,"4",25040.7222296927
20,2,"1",23766.6935331789
20,2,"2",19177.3125318268
20,2,"3",246821.1705015
20,2,"4",21368.6442993512
20,3,"1",15166.2613029497
20,3,"2",18622.5807996773
20,3,"3",273070.416690033
20,3,"4",1159.77054185949
20,4,"1",28173.1216988369
20,4,"2",7894.96242166193
20,4,"3",186966.400743838
20,4,"4",1929.74191919466
21,1,"1",29077.8592270602
21,1,"2",1152.32290878916
21,1,"3",206419.94142196
21,1,"4",14987.8137481648
21,2,"1",24702.954074148
21,2,"2",2155.37518693357
21,2,"3",162161.133345723
21,2,"4",6264.47298848338
21,3,"1",34707.9291966498
21,3,"2",9249.64811169616
21,3,"3",151484.729962881
21,3,"4",1318.07350347157
21,4,"1",28186.6197564528
21,4,"2",20776.7936529252
21,4,"3",141480.863650945
21,4,"4",5879.27493009683
22,1,"1",11973.5363607991
22,1,"2",16099.3626308491
22,1,"3",125212.869094658
22,1,"4",11409.3736633363
22,2,"1",12783.4613217013
22,2,"2",7304.16041125485
22,2,"3",88866.9798182934
22,2,"4",1435.06104584457
22,3,"1",13744.7436097054
22,3,"2",10016.1918525844
22,3,"3",52672.2655431115
22,3,"4",91.2137054036937
22,4,"1",27734.1634141614
22,4,"2",13957.2509486429
22,4,"3",98120.1512695637
22,4,"4",264.322915495373
23,1,"1",24866.4647597006
23,1,"2",3071.29545124639
23,1,"3",98172.8435767206
23,1,"4",2232.9150487949
23,2,"1",16140.0818112912
23,2,"2",3460.12662975049
23,2,"3",79923.5159723675
23,2,"4",4135.01132269204
23,3,"1",14948.9485046135
23,3,"2",4323.81900899933
23,3,"3",82754.2836379994
23,3,"4",1507.82744584829
23,4,"1",34372.111233757
23,4,"2",8475.87497417138
23,4,"3",142586.686584054
23,4,"4",266.893571716255
24,1,"1",8321.27874960567
24,1,"2",3364.36841160196
24,1,"3",124870.056691588
24,1,"4",14368.278104529
24,2,"1",14521.7690359204
24,2,"2",2380.29469836671
24,2,"3",101012.322168401
24,2,"4",11976.4462866683
24,3,"1",31207.7842470741
24,3,"2",2702.06787567459
24,3,"3",137551.999375401
24,3,"4",40.1048072104495
24,4,"1",59394.9471704127
24,4,"2",6401.17222665924
24,4,"3",180701.844191104
24,4,"4",28.3092756779644
25,1,"1",28563.2661723465
25,1,"2",6030.04107462802
25,1,"3",78676.367532993
25,1,"4",15418.5732343252
25,2,"1",24980.8597325176
25,2,"2",12769.507193702
25,2,"3",96712.4256126203
25,2,"4",11007.0810877681
25,3,"1",9898.59831367031
25,3,"2",16180.7006105111
25,3,"3",119609.759755128
25,3,"4",503.056731159303
25,4,"1",7653.55026608449
25,4,"2",28535.1386596951
25,4,"3",117296.331710964
25,4,"4",2421.64874957715
26,1,"1",6156.16666627913
26,1,"2",12576.2929492984
26,1,"3",161575.156065848
26,1,"4",10799.9794777297
26,2,"1",19356.8892684777
26,2,"2",6071.41175169091
26,2,"3",219449.886931403
26,2,"4",16891.7042855561
26,3,"1",54848.7725646769
26,3,"2",6468.44695789481
26,3,"3",231526.403913007
26,3,"4",0
26,4,"1",21645.4076558058
26,4,"2",17795.467284918
26,4,"3",278810.335401898
26,4,"4",97.9502044339482
27,1,"1",27592.2503880977
27,1,"2",3203.25957586201
27,1,"3",234571.887669591
27,1,"4",13924.8211212569
27,2,"1",9691.00128445078
27,2,"2",4004.63031494424
27,2,"3",150917.504796725
27,2,"4",5545.00099647143
27,3,"1",7960.98071256293
27,3,"2",9221.52160075528
27,3,"3",134365.281277841
27,3,"4",7.60702393553181
27,4,"1",60023.39554104
27,4,"2",35480.172880467
27,4,"3",158062.730230748
27,4,"4",15.7170925699631
28,1,"1",48755.8177370717
28,1,"2",11008.935075293
28,1,"3",112582.904932805
28,1,"4",9166.41541683501
28,2,"1",42716.8858798839
28,2,"2",6726.33780184164
28,2,"3",116858.259470683
28,2,"4",5996.77561236702
28,3,"1",19852.3621037002
28,3,"2",9231.91951360423
28,3,"3",179138.638409996
28,3,"4",365.618159600603
28,4,"1",19501.7456170374
28,4,"2",17431.199429995
28,4,"3",108635.592086831
28,4,"4",400.398624243219
29,1,"1",49463.7478393191
29,1,"2",3270.7648981056
29,1,"3",67596.5165680332
29,1,"4",32014.4085318649
29,2,"1",2018.19881159
29,2,"2",2771.11328570157
29,2,"3",123562.048425234
29,2,"4",19434.6104745607
29,3,"1",4876.08059873561
29,3,"2",4296.67505690818
29,3,"3",130437.742167772
29,3,"4",552.097493874874
29,4,"1",11368.9536972662
29,4,"2",9077.28179713006
29,4,"3",96951.180179106
29,4,"4",283.330765752284
30,1,"1",28642.5144573394
30,1,"2",2804.35151686226
30,1,"3",73775.1940301445
30,1,"4",38267.5295789767
30,2,"1",16268.2101952814
30,2,"2",4251.67753151336
30,2,"3",123165.437733645
30,2,"4",8111.00736833684
30,3,"1",19366.0210452621
30,3,"2",5717.94287684067
30,3,"3",135033.218026648
30,3,"4",28.8661601573289
30,4,"1",22961.1848493408
30,4,"2",14887.2471032151
30,4,"3",140413.461817988
30,4,"4",3.2073511285921
31,1,"1",52322.0311055927
31,1,"2",2605.23665543014
31,1,"3",121933.473273067
31,1,"4",24937.8507414786
31,2,"1",16034.6295389472
31,2,"2",1387.27788744622
31,2,"3",237332.432423387
31,2,"4",8839.10093067585
31,3,"1",28042.7431376103
31,3,"2",4735.74458625475
31,3,"3",170582.602114139
31,3,"4",79.3327238001534
31,4,"1",33379.688843195
31,4,"2",16665.0527315094
31,4,"3",290747.711427415
31,4,"4",1336.67519368355
32,1,"1",10201.6020497887
32,1,"2",5207.32514950323
32,1,"3",151771.089106622
32,1,"4",42899.3268505854
32,2,"1",6827.22569408331
32,2,"2",3872.23991601943
32,2,"3",187081.937469235
32,2,"4",1596.54782879609
32,3,"1",26266.3313541284
32,3,"2",8413.30456113536
32,3,"3",151836.359163607
32,3,"4",68.3422168887502
32,4,"1",27730.3708739185
32,4,"2",14702.6028295822
32,4,"3",160395.201531083
32,4,"4",273.975305527985
