"year","quarter","Cell","Total_Catch"
1,1,"1",0
1,1,"2",0
1,1,"3",0
1,1,"4",0
1,2,"1",0
1,2,"2",0
1,2,"3",0
1,2,"4",0
1,3,"1",0
1,3,"2",0
1,3,"3",0
1,3,"4",0
1,4,"1",0
1,4,"2",0
1,4,"3",0
1,4,"4",0
2,1,"1",0
2,1,"2",0
2,1,"3",0
2,1,"4",0
2,2,"1",0
2,2,"2",0
2,2,"3",0
2,2,"4",4612.13410630673
2,3,"1",0
2,3,"2",0
2,3,"3",0
2,3,"4",0
2,4,"1",0
2,4,"2",0
2,4,"3",0
2,4,"4",1033.41354626318
3,1,"1",1730.57692792601
3,1,"2",84.5271752530091
3,1,"3",12.4451483856791
3,1,"4",48191.7073485803
3,2,"1",861.98567313365
3,2,"2",114.696602502102
3,2,"3",207.598348545155
3,2,"4",128388.407816597
3,3,"1",34680.4189318835
3,3,"2",57.9188021000331
3,3,"3",3.96636793052577
3,3,"4",66162.6605433782
3,4,"1",37318.4651473372
3,4,"2",29.5874858750653
3,4,"3",466.760463999016
3,4,"4",32746.1994793043
4,1,"1",145732.973802002
4,1,"2",2370.37338858506
4,1,"3",479.46843843465
4,1,"4",88876.8638505819
4,2,"1",198359.372486741
4,2,"2",1755.92548192538
4,2,"3",392.529014587512
4,2,"4",76631.3017282556
4,3,"1",86729.9537061256
4,3,"2",735.02820371372
4,3,"3",54.8440671744304
4,3,"4",26903.615114077
4,4,"1",131051.58515827
4,4,"2",4291.56141382443
4,4,"3",101.707686719115
4,4,"4",27440.3156115553
5,1,"1",219215.521127434
5,1,"2",19437.0753983606
5,1,"3",1964.98649762319
5,1,"4",108388.701314632
5,2,"1",174730.548643353
5,2,"2",11632.885844567
5,2,"3",219.696829311129
5,2,"4",128058.735620535
5,3,"1",152161.603713663
5,3,"2",5796.16890148302
5,3,"3",147.972935949507
5,3,"4",46815.4662215167
5,4,"1",148451.660062064
5,4,"2",2585.12123075701
5,4,"3",170.782197335469
5,4,"4",35556.795048457
6,1,"1",101343.426524078
6,1,"2",7477.7343353545
6,1,"3",565.136212618205
6,1,"4",117841.100150516
6,2,"1",17311.4013440416
6,2,"2",7058.69931944358
6,2,"3",8907.40479094871
6,2,"4",150986.938267256
6,3,"1",35757.6492137936
6,3,"2",4157.29777901616
6,3,"3",237.944315304536
6,3,"4",33991.6677900709
6,4,"1",42235.7526346813
6,4,"2",700.001442638133
6,4,"3",177.520822567347
6,4,"4",41665.9182027303
7,1,"1",83584.0466617949
7,1,"2",3715.32795299751
7,1,"3",411.25617480573
7,1,"4",88499.0126509988
7,2,"1",85318.9647066643
7,2,"2",2950.75122197923
7,2,"3",393.161686591714
7,2,"4",94844.8977970073
7,3,"1",19370.5510862611
7,3,"2",1855.41854842999
7,3,"3",2352.28862378798
7,3,"4",12554.6532520931
7,4,"1",46234.2952336134
7,4,"2",8532.95697993511
7,4,"3",12389.9760285757
7,4,"4",17080.3495094247
8,1,"1",108706.141524455
8,1,"2",2735.92726022107
8,1,"3",9641.18072182656
8,1,"4",40075.1773568617
8,2,"1",118683.850945433
8,2,"2",5817.31314199312
8,2,"3",3903.12140177658
8,2,"4",73558.4749162363
8,3,"1",56044.5108014546
8,3,"2",4386.98784760082
8,3,"3",2780.63605471784
8,3,"4",17915.0582325136
8,4,"1",48099.3509621835
8,4,"2",6335.9996459555
8,4,"3",3707.85108189782
8,4,"4",19216.157926952
9,1,"1",156710.908584703
9,1,"2",4470.29024102646
9,1,"3",5202.78481624624
9,1,"4",46857.9471499254
9,2,"1",153890.177940695
9,2,"2",5192.60331847576
9,2,"3",2533.97160837766
9,2,"4",125370.162688013
9,3,"1",35774.0665121386
9,3,"2",32481.5203537765
9,3,"3",4319.71858447688
9,3,"4",26097.1830323494
9,4,"1",124734.968551254
9,4,"2",7146.55839583494
9,4,"3",5362.38748880577
9,4,"4",34495.2451457247
10,1,"1",125158.039736031
10,1,"2",4104.64320710323
10,1,"3",4056.07739924276
10,1,"4",43454.7189763326
10,2,"1",95125.3623865489
10,2,"2",17835.3427057032
10,2,"3",639.862533196379
10,2,"4",28846.7832754301
10,3,"1",63568.9796006747
10,3,"2",47618.6226837706
10,3,"3",373.984568221682
10,3,"4",27230.2587460031
10,4,"1",140176.892683984
10,4,"2",34142.1711349925
10,4,"3",14997.9285510137
10,4,"4",59701.2543989797
11,1,"1",176870.309893587
11,1,"2",39433.8789399641
11,1,"3",3217.97749671025
11,1,"4",109232.418046802
11,2,"1",104958.560734777
11,2,"2",61289.9758422288
11,2,"3",2559.72536105969
11,2,"4",64390.5132148972
11,3,"1",26856.0807254566
11,3,"2",70558.5327132328
11,3,"3",18257.5727333128
11,3,"4",106419.780822155
11,4,"1",152251.137297436
11,4,"2",54429.2097117944
11,4,"3",10240.9803354381
11,4,"4",52772.2384419079
12,1,"1",82336.1321195541
12,1,"2",55937.4018543325
12,1,"3",4490.61708746774
12,1,"4",32768.0336018914
12,2,"1",36451.16349607
12,2,"2",97154.1180716949
12,2,"3",966.91338890741
12,2,"4",24743.3939633373
12,3,"1",16094.523667717
12,3,"2",22197.2672645502
12,3,"3",10066.7987417898
12,3,"4",25707.4536551296
12,4,"1",92987.1998303267
12,4,"2",23768.8503747504
12,4,"3",9241.22670823555
12,4,"4",26057.7999971814
13,1,"1",79231.2951764625
13,1,"2",28629.3960428707
13,1,"3",1837.15546742647
13,1,"4",25976.4771713907
13,2,"1",80304.3105864532
13,2,"2",42051.6776684373
13,2,"3",3238.65940217966
13,2,"4",28108.6466761918
13,3,"1",27675.0596021703
13,3,"2",42350.1055208969
13,3,"3",3806.34995142661
13,3,"4",52411.8133386003
13,4,"1",57238.6914164187
13,4,"2",19394.7255443275
13,4,"3",8708.21550693328
13,4,"4",18530.1568332474
14,1,"1",108798.646037993
14,1,"2",25435.1915571424
14,1,"3",2995.39803526073
14,1,"4",46915.5476067437
14,2,"1",92368.002181537
14,2,"2",21205.8413833104
14,2,"3",938.552408658635
14,2,"4",64212.9113626962
14,3,"1",79529.7946666257
14,3,"2",51445.3363171324
14,3,"3",1022.42151085523
14,3,"4",22350.1410548817
14,4,"1",120910.761680996
14,4,"2",28936.2480481024
14,4,"3",3723.32439302485
14,4,"4",37497.6351203936
15,1,"1",297578.427457197
15,1,"2",12359.0840864609
15,1,"3",1738.76138788901
15,1,"4",37037.0845571107
15,2,"1",200858.384742727
15,2,"2",55174.3210108507
15,2,"3",2625.84575319637
15,2,"4",26612.5107381641
15,3,"1",113685.755318387
15,3,"2",47997.9176566846
15,3,"3",5641.70788701662
15,3,"4",40275.5728235367
15,4,"1",232713.922087041
15,4,"2",21266.2924948845
15,4,"3",10074.1859707148
15,4,"4",28414.7069095245
16,1,"1",201201.873030532
16,1,"2",20203.1891197664
16,1,"3",3877.96618777137
16,1,"4",68074.2363430881
16,2,"1",97769.3661715798
16,2,"2",90166.4185367149
16,2,"3",6798.51116471369
16,2,"4",63292.1229717227
16,3,"1",42276.7947092728
16,3,"2",25035.045526568
16,3,"3",5006.03158744266
16,3,"4",27591.4976769047
16,4,"1",107851.973298812
16,4,"2",60200.8567150063
16,4,"3",6084.15254871635
16,4,"4",23834.900176522
17,1,"1",604650.515853325
17,1,"2",186128.128495322
17,1,"3",2507.72960547754
17,1,"4",75587.9420655246
17,2,"1",522793.931866465
17,2,"2",216637.893407338
17,2,"3",16792.9139053856
17,2,"4",18082.8098383124
17,3,"1",284804.842220527
17,3,"2",88981.788786492
17,3,"3",3839.19027210257
17,3,"4",26673.5824070138
17,4,"1",360900.325128525
17,4,"2",24424.1972526506
17,4,"3",3502.9824975064
17,4,"4",23767.9435648891
18,1,"1",452393.042492216
18,1,"2",22164.4299779092
18,1,"3",1037.70226045145
18,1,"4",81839.6807403181
18,2,"1",140720.004568733
18,2,"2",62353.9083806738
18,2,"3",4312.78237077286
18,2,"4",112172.093206652
18,3,"1",192211.620363904
18,3,"2",65242.9727424249
18,3,"3",3739.52439493737
18,3,"4",33080.6639984348
18,4,"1",297102.146353659
18,4,"2",24317.6226645434
18,4,"3",2075.34195766687
18,4,"4",74945.199621681
19,1,"1",104018.144138602
19,1,"2",34844.3253095622
19,1,"3",1297.66585174147
19,1,"4",70620.8059625151
19,2,"1",71889.9010800366
19,2,"2",34154.6016722363
19,2,"3",1081.100800937
19,2,"4",40034.859309142
19,3,"1",39180.3984431643
19,3,"2",5489.30081412616
19,3,"3",2073.92974881346
19,3,"4",197996.399354345
19,4,"1",103020.040315807
19,4,"2",19859.432770209
19,4,"3",8684.0241328229
19,4,"4",69702.7121783413
20,1,"1",131683.25136875
20,1,"2",21184.5855166634
20,1,"3",4085.1653958573
20,1,"4",73100.3325681969
20,2,"1",162122.265746031
20,2,"2",27798.6447511102
20,2,"3",19442.2975108228
20,2,"4",101770.612857893
20,3,"1",261450.184552133
20,3,"2",11781.477853104
20,3,"3",17182.3761528243
20,3,"4",17604.9907764579
20,4,"1",193568.988115943
20,4,"2",13555.4245512701
20,4,"3",3539.03048343919
20,4,"4",14300.7836328792
21,1,"1",190953.379232354
21,1,"2",19358.4753385264
21,1,"3",785.533629772522
21,1,"4",40540.5491053206
21,2,"1",126929.939664537
21,2,"2",23575.9282669786
21,2,"3",2949.45224034596
21,2,"4",41828.6154234265
21,3,"1",107193.874034886
21,3,"2",33875.558844725
21,3,"3",6333.54549945688
21,3,"4",49357.4023956301
21,4,"1",134685.844712612
21,4,"2",28915.1578086229
21,4,"3",5808.1451944249
21,4,"4",26914.4042747604
22,1,"1",85474.7096547635
22,1,"2",16401.1165885076
22,1,"3",9431.42376946392
22,1,"4",53387.8917369079
22,2,"1",60836.0356209216
22,2,"2",9861.01831372775
22,2,"3",8735.92984761026
22,2,"4",30956.6788148344
22,3,"1",44031.2458280208
22,3,"2",11906.739793967
22,3,"3",7655.89481429532
22,3,"4",12930.5342745219
22,4,"1",87188.141629242
22,4,"2",24514.4951908723
22,4,"3",5707.46661526234
22,4,"4",22665.7851124866
23,1,"1",79022.8017061819
23,1,"2",17862.3226038716
23,1,"3",2365.2658963947
23,1,"4",29093.1286300144
23,2,"1",68165.0666917289
23,2,"2",13187.0227310898
23,2,"3",3256.50082403123
23,2,"4",19050.1454892513
23,3,"1",69651.8622103692
23,3,"2",5183.39862299892
23,3,"3",3414.42424755146
23,3,"4",25285.193516541
23,4,"1",115225.283210894
23,4,"2",31212.6986693312
23,4,"3",4196.21529863429
23,4,"4",35067.3691848386
24,1,"1",52483.0122998227
24,1,"2",17306.4152602519
24,1,"3",1047.69618624551
24,1,"4",80086.8582110046
24,2,"1",63321.0375685433
24,2,"2",15740.5061666918
24,2,"3",2726.81638023552
24,2,"4",48102.4720738857
24,3,"1",61746.9682502597
24,3,"2",33283.2030055137
24,3,"3",1364.35667830616
24,3,"4",75107.4283712805
24,4,"1",165159.032542768
24,4,"2",55037.9557378974
24,4,"3",3071.74888925256
24,4,"4",23257.5356939363
25,1,"1",32898.2048454923
25,1,"2",29967.6226079318
25,1,"3",1883.61981997488
25,1,"4",63938.8007408939
25,2,"1",49149.55588532
25,2,"2",20312.9028731951
25,2,"3",14776.069844741
25,2,"4",61231.3450233518
25,3,"1",49114.4148043305
25,3,"2",18765.0797104799
25,3,"3",12643.2468029475
25,3,"4",65669.3740927104
25,4,"1",29131.0250276184
25,4,"2",54291.8093209607
25,4,"3",10784.4717309765
25,4,"4",61699.3633067648
26,1,"1",88901.4165198363
26,1,"2",12789.0964387502
26,1,"3",11506.2192487582
26,1,"4",77910.862951811
26,2,"1",139781.222439474
26,2,"2",8210.74288746676
26,2,"3",7921.37687477475
26,2,"4",105856.550035412
26,3,"1",189310.839432091
26,3,"2",15989.8892278795
26,3,"3",6223.6247646202
26,3,"4",81319.2700109875
26,4,"1",232522.331173059
26,4,"2",28389.7210897261
26,4,"3",10079.1154241573
26,4,"4",47357.9928601138
27,1,"1",199386.089201105
27,1,"2",14646.6176897754
27,1,"3",2694.96225906763
27,1,"4",62564.5496048594
27,2,"1",98176.3912507402
27,2,"2",6395.01800729617
27,2,"3",4101.38311755511
27,2,"4",61485.3450169996
27,3,"1",28649.5578098146
27,3,"2",12019.244322874
27,3,"3",6417.21053045031
27,3,"4",104469.377951955
27,4,"1",166344.186601828
27,4,"2",52242.4221268828
27,4,"3",5186.56929813075
27,4,"4",29808.8377179836
28,1,"1",85557.9766888918
28,1,"2",47997.0433321008
28,1,"3",3315.096140445
28,1,"4",44643.9570005673
28,2,"1",60259.2244360354
28,2,"2",39661.0915034229
28,2,"3",8287.49196161277
28,2,"4",64090.4508637049
28,3,"1",46346.3887596837
28,3,"2",19735.875518775
28,3,"3",7359.68547226035
28,3,"4",135146.588436182
28,4,"1",64925.1418889138
28,4,"2",24114.3741150104
28,4,"3",7306.63417584318
28,4,"4",49622.7855783391
29,1,"1",27247.7796078099
29,1,"2",50049.0912713724
29,1,"3",1948.76930258366
29,1,"4",73099.7976555568
29,2,"1",47761.4168827054
29,2,"2",6019.08754147481
29,2,"3",2506.9730492349
29,2,"4",91498.493523671
29,3,"1",27397.7584875911
29,3,"2",7111.75792361697
29,3,"3",3552.42918212681
29,3,"4",102100.649723956
29,4,"1",61572.9536975202
29,4,"2",18399.8639143652
29,4,"3",4318.57081172708
29,4,"4",33389.358015642
30,1,"1",59728.5733141332
30,1,"2",23821.7041305017
30,1,"3",1673.18362916407
30,1,"4",58266.1285095238
30,2,"1",86395.051896442
30,2,"2",16112.4686530882
30,2,"3",4272.71032630565
30,2,"4",45016.1019529409
30,3,"1",66613.8022952085
30,3,"2",27270.5224519334
30,3,"3",5569.40764273577
30,3,"4",60692.3157190302
30,4,"1",97340.1255423765
30,4,"2",37915.0192179618
30,4,"3",5687.9284304744
30,4,"4",37322.0279308598
31,1,"1",105936.098726821
31,1,"2",46334.8747995897
31,1,"3",1530.26579410919
31,1,"4",47997.3524550484
31,2,"1",207282.845037696
31,2,"2",14095.2899279772
31,2,"3",1433.09824662807
31,2,"4",40782.2075681556
31,3,"1",118753.076476745
31,3,"2",32082.5668416069
31,3,"3",4646.17213986905
31,3,"4",47958.6071035826
31,4,"1",263096.363598729
31,4,"2",24406.1112934814
31,4,"3",7184.14214455514
31,4,"4",47442.5111590382
32,1,"1",110762.030662045
32,1,"2",13643.1690518334
32,1,"3",2184.65433049017
32,1,"4",83489.4891121305
32,2,"1",159069.528402391
32,2,"2",2287.63109908744
32,2,"3",3974.2361041667
32,2,"4",34046.5553024889
32,3,"1",103398.604626873
32,3,"2",24233.0536850098
32,3,"3",7771.00424118092
32,3,"4",51181.6747426951
