"Improve","Key","Value"
31.3476256716931,"Lat","-2.5"
15.0125302028127,"Lat","2.5"
4.70377433056819,"Lon","57.5"
4.29488732717346,"Lon","42.5"
4.25175315700199,"Lat","7.5"
3.28772619114534,"Lat","-7.5"
2.85774053468322,"Lon","47.5"
2.6694374478684,"Lon","52.5"
2.59019735705078,"Lon","37.5"
2.21337764394957,"Qrt","2"
2.08828387270478,"Qrt","1"
2.07858281699282,"Lon","62.5"
1.75374341106362,"Lon","77.5"
1.72684055121408,"Lon","82.5"
1.61743893965377,"Lon","67.5"
1.55630525729157,"Lon","72.5"
1.41454372346197,"Lat","-12.5"
1.37654292222032,"CQrt","14;23"
1.28775301052792,"Lat","17.5"
1.11161025647289,"CQrt","134;2"
1.01336103362701,"Lon","87.5"
0.890047661097014,"Lat","12.5"
0.870665297406049,"Lat","-17.5"
0.674956913313508,"Qrt","3"
0.568640206299278,"CQrt","124;3"
0.400030192485247,"Lat","-22.5"
0.330727115834634,"Lon","92.5"
