"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-7.5",0.0601409297253087,1
2,"Lat","12.5",0.0532763524223104,2
2,"Lat","7.5",0.0529496267516741,3
3,"Lon","77.5",0.0526856058843223,4
1,"Lon","42.5",0.0517384163096919,5
3,"Lon","82.5",0.0507820894479458,6
1,"Lat","-17.5",0.0505795308385343,7
2,"Lon","57.5",0.0500384363717999,8
1,"Lon","37.5",0.0499773034356519,9
3,"Lon","72.5",0.0499452701227311,10
1,"Lon","47.5",0.0493684562097534,11
2,"Lon","62.5",0.0493121456943381,12
1,"Lon","57.5",0.0485856985839105,13
3,"Lon","87.5",0.0482252430767368,14
1,"Lon","72.5",0.0481317823538015,15
1,"Lon","62.5",0.0480931088881271,16
1,"Lat","-12.5",0.0476737005157844,17
2,"Lon","47.5",0.0475956820922287,18
1,"Lat","-22.5",0.047039886171563,19
2,"Lat","2.5",0.0470334430286283,20
3,"Lat","2.5",0.0470278520445206,21
1,"Lon","67.5",0.0469935505665905,22
1,"Lon","82.5",0.0469286685479081,23
1,"Lon","77.5",0.0468213586730851,24
2,"Lat","17.5",0.0466357079335707,25
2,"Lon","52.5",0.0466115681682772,26
1,"Lon","52.5",0.0466058722543981,27
1,"Lon","87.5",0.0465784684473284,28
1,"Lon","92.5",0.0464390115504879,29
3,"Lon","92.5",0.0464172723464284,30
