"Key","Value","Improvement"
"Lat","-2.5",61.6935899364516
"Lat","-7.5",19.7415959205446
"Lat","2.5",12.9567243548026
"Lon","67.5",12.6891805942687
"Lon","52.5",12.0797917950431
"Lon","42.5",11.5292040537706
"Lon","57.5",9.75128089423742
"Lon","47.5",8.76084708554254
"Lon","72.5",7.35972741175374
"Lat","-12.5",6.67672786231469
"Lon","77.5",5.57502060864908
"Lon","82.5",3.76789719763747
"Lon","62.5",3.36073252304232
"Lon","87.5",2.72389517249349
"Lat","12.5",2.02488852117358
"Lon","92.5",1.81900585725589
"Lat","-17.5",1.64065024134516
"Lat","7.5",1.33055167971588
"Lon","37.5",1.28825819809572
"Lat","17.5",1.10507509758872
"Lat","-22.5",0.901531325303495
