"Cell","Key","Value","Improvement"
1,"Lat","-2.5",24.9771747891364
1,"Lon","57.5",14.1136605632901
1,"Lon","62.5",9.61791070121853
1,"Lat","2.5",4.69617390196981
1,"Lon","52.5",4.32356009444084
1,"Lat","12.5",3.53119107443399
1,"Lat","-17.5",1.59383510703537
1,"Lon","37.5",1.47768423628713
1,"Lat","7.5",1.21315611506088
1,"Lon","47.5",0.87093666272267
1,"Lat","-12.5",0.807204774228921
1,"Lon","42.5",0.595722664783352
1,"Lat","-7.5",0.554064477008069
1,"Lat","17.5",0.426717447197007
1,"Lat","-22.5",0.424551649650311
2,"Lon","72.5",8.09283113170704
2,"Lon","77.5",5.84593118523526
2,"Lat","-7.5",5.47438400425983
2,"Lon","82.5",4.69837597833555
2,"Lon","87.5",2.33402851334745
2,"Lat","-2.5",1.86342150311737
2,"Lon","92.5",0.49557616475704
2,"Lat","2.5",0.424957723344278
