"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0186907236068273,1
"Lon","67.5",0.0156376058166394,2
"Lat","2.5",0.00896958252016006,3
"Lon","57.5",0.00397044608642903,4
"Lat","12.5",0.00348446347411759,5
"Lon","72.5",0.00322063032965115,6
"Lat","-17.5",0.00241164973376084,7
"Lon","77.5",0.00221733340581918,8
"Lon","37.5",0.00220662361304006,9
"Lat","-7.5",0.00174127478594421,10
"Lon","52.5",0.00150487124437799,11
"Lon","62.5",0.00131829783448438,12
"Lon","42.5",0.0011887734025305,13
"Lon","82.5",0.0011774930452696,14
"Lat","7.5",0.00104648634099939,15
"Lon","47.5",0.00095803930941546,16
"Lat","-22.5",0.000701788049040584,17
"Lat","-12.5",0.000655433192089203,18
"Lon","87.5",0.000557331363499896,19
"Lat","17.5",0.000555632805811546,20
"Lon","92.5",0.000510031247549906,21
