"Cell","Key","Value","Improvement"
1,"Lat","-2.5",25.8412625243491
1,"Lon","57.5",14.2641260209602
1,"Lon","62.5",9.90585623883999
1,"Lat","2.5",5.03255702612842
1,"Lon","52.5",4.40213988546566
1,"Lat","12.5",3.57800401595159
1,"Lat","-17.5",1.69475401036016
1,"Lon","37.5",1.55927815420637
1,"Lat","7.5",1.23817381056961
1,"Lon","47.5",1.04258819006463
1,"Lat","-12.5",0.928264018289156
1,"Lat","-7.5",0.763289383124174
1,"Lon","42.5",0.719353601019975
1,"Lat","-22.5",0.555410752815078
1,"Lat","17.5",0.456729089684814
2,"Lon","72.5",8.3331597621119
2,"Lon","77.5",5.97785740789902
2,"Lat","-7.5",5.94908170581971
2,"Lon","82.5",4.84625228421203
2,"Lon","87.5",2.42146921774929
2,"Lat","-2.5",2.08204277273842
2,"Lat","2.5",0.656821384257341
2,"Lon","92.5",0.57830368051566
