"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-2.5",0.0460960717016434,1
1,"Lon","57.5",0.0367635795278028,2
1,"Lon","62.5",0.0333002875275924,3
2,"Lon","72.5",0.03094625302268,4
2,"Lat","-7.5",0.0285740455090823,5
3,"Lat","7.5",0.0285683895510536,6
3,"Lat","12.5",0.0284911695717875,7
2,"Lon","77.5",0.0282822350226629,8
2,"Lon","82.5",0.0269783302574176,9
3,"Lon","47.5",0.0249034626716865,10
2,"Lon","87.5",0.0243820332653174,11
2,"Lat","-2.5",0.0243241657938534,12
1,"Lon","52.5",0.0242916368467912,13
1,"Lat","-17.5",0.0240461687024068,14
1,"Lon","37.5",0.0238432013168181,15
3,"Lon","52.5",0.0231868886785626,16
1,"Lat","-7.5",0.0229421508334986,17
1,"Lon","42.5",0.0227678930300237,18
3,"Lon","57.5",0.0225042946071952,19
1,"Lat","-12.5",0.0224538319549763,20
1,"Lat","-22.5",0.022439479902919,21
2,"Lon","92.5",0.0224101936415133,22
3,"Lon","62.5",0.0224077884789588,23
1,"Lon","47.5",0.0222584467158241,24
3,"Lat","17.5",0.0222431383435965,25
3,"Lon","87.5",0.0221848353377745,26
3,"Lon","67.5",0.0220263851248049,27
