"Improve","Key","Value","Cell"
10.5909098054299,"Lat","-7.5",1
9.08322861104671,"Lon","42.5",1
5.25208677354613,"Lon","37.5",1
4.91259098689079,"Lon","47.5",1
4.30679280759159,"Lat","-12.5",1
2.47136780202027,"Lat","-17.5",1
2.00914706259437,"Lat","2.5",2
1.90737146532683,"Lon","67.5",2
1.7283932264977,"Lon","72.5",1
1.63103773604644,"CQrt","124;3",1
1.54219204350147,"Lon","57.5",1
1.470030558914,"Lon","62.5",1
1.37911150730179,"Lon","47.5",2
1.28610393145482,"Lon","82.5",1
1.24425213820996,"Qrt","2",1
1.09455913542297,"Lon","52.5",2
1.04596404949734,"Lon","72.5",2
1.04259552331496,"Lat","12.5",2
0.917192293464268,"Lon","42.5",2
0.879410996686147,"Lon","87.5",1
0.871235755753787,"Lat","7.5",2
0.835108461051277,"Lon","77.5",1
0.790742964328729,"CQrt","14;23",1
0.765822155517526,"Lon","52.5",1
0.692431212795782,"Lat","-22.5",1
0.649901312225666,"CQrt","134;2",1
0.644433040412878,"Lon","92.5",1
0.557852088698837,"Qrt","2",2
0.525059570292342,"CQrt","14;23",2
0.50952146021109,"Lon","77.5",2
0.488555882661785,"Qrt","1",2
0.465229801200167,"Qrt","3",1
0.464974391859414,"Lat","17.5",2
0.444833706301324,"CQrt","134;2",2
0.433268782967843,"Lon","82.5",2
0.36119860225881,"Lon","67.5",1
0.357342433090253,"Lon","57.5",2
0.274755683933563,"Lon","87.5",2
0.232317947483352,"Lon","62.5",2
0.219121078201169,"Qrt","1",1
0.178953042469402,"CQrt","124;3",2
0.175703216144484,"Qrt","3",2
0.0193047843499699,"Lon","92.5",2
