"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","81","Stratum_1"," [kg]",42748804.8529935,3384726.24301088,0.0791770964042254
"1","82","Stratum_1"," [kg]",45683841.4128749,4588754.9803929,0.100445909067088
"1","83","Stratum_1"," [kg]",44294764.1524725,3778015.49216283,0.0852925975439908
"1","84","Stratum_1"," [kg]",43828540.5810627,4227328.88395334,0.0964515091743636
"1","85","Stratum_1"," [kg]",44814134.4392698,4084879.86292489,0.0911515956748098
"1","86","Stratum_1"," [kg]",50760724.7093409,5592892.77335095,0.110181499680633
"1","87","Stratum_1"," [kg]",46932978.822673,4046388.26340201,0.0862163102557477
"1","88","Stratum_1"," [kg]",45481298.8831085,3904476.67054989,0.0858479587529982
"1","89","Stratum_1"," [kg]",43087900.8824036,3542924.03968843,0.0822254964185389
"1","90","Stratum_1"," [kg]",45188692.5067529,4054508.98370407,0.0897239720555796
"1","91","Stratum_1"," [kg]",49533967.8239639,4621665.48132788,0.0933029531926973
"1","92","Stratum_1"," [kg]",46570701.4682101,4412375.65612281,0.0947457417864913
"1","93","Stratum_1"," [kg]",44316910.0307855,4180709.75690044,0.0943366709004813
"1","94","Stratum_1"," [kg]",45330698.1330885,4325866.51777066,0.0954290733637092
"1","95","Stratum_1"," [kg]",48258771.4063328,4738717.34899193,0.098193907778806
"1","96","Stratum_1"," [kg]",47859125.6054907,5373248.57898192,0.112272184478971
"1","97","Stratum_1"," [kg]",47798617.4963566,4697694.79738708,0.0982809763848329
"1","98","Stratum_1"," [kg]",55376987.3963365,6083093.76940207,0.109848766706376
"1","99","Stratum_1"," [kg]",49401547.763463,4920823.22529754,0.0996086853160691
"1","100","Stratum_1"," [kg]",42852627.4405343,5616514.63976507,0.131065817319113
"1","101","Stratum_1"," [kg]",51258314.33766,7117062.84376527,0.138846993619068
"1","102","Stratum_1"," [kg]",59474434.2497412,9274427.44388654,0.155939733784469
"1","103","Stratum_1"," [kg]",46126650.0008546,6384459.76371636,0.138411520533099
"1","104","Stratum_1"," [kg]",50741112.434086,7075186.73381152,0.139436965301113
"1","105","Stratum_1"," [kg]",49024324.4970583,6250037.50322123,0.127488498155569
"1","106","Stratum_1"," [kg]",53347195.2589872,5689535.25504574,0.106651066235525
"1","107","Stratum_1"," [kg]",43095781.6029101,5013996.45416366,0.116345411724128
"1","108","Stratum_1"," [kg]",44587813.9845017,4757006.25130831,0.106688483381621
"1","109","Stratum_1"," [kg]",46753874.7305232,4718004.72849281,0.100911523498023
"1","110","Stratum_1"," [kg]",50545539.3240444,4764896.39883907,0.0942693749549612
"1","111","Stratum_1"," [kg]",43862264.7923711,4937925.70218584,0.112577992166166
"1","112","Stratum_1"," [kg]",43952739.5115365,5169169.11451805,0.117607438625328
"1","113","Stratum_1"," [kg]",44076937.8430515,4459285.2266222,0.101170486082785
"1","114","Stratum_1"," [kg]",48350872.9882657,5381349.4591151,0.111297875850579
"1","115","Stratum_1"," [kg]",46705205.3198885,6691378.23494946,0.143268361398254
"1","116","Stratum_1"," [kg]",47893630.3466187,5806499.59212753,0.121237407774361
"1","117","Stratum_1"," [kg]",52043682.1634993,5668071.71778866,0.108909890349072
"1","118","Stratum_1"," [kg]",56655058.2355129,7359316.18790187,0.129896895654214
"1","119","Stratum_1"," [kg]",51809931.4010374,4283882.81894557,0.0826845877441132
"1","120","Stratum_1"," [kg]",53989569.8687649,4777352.74877316,0.0884865865830327
"1","121","Stratum_1"," [kg]",52548154.8010515,5156408.47176856,0.0981272984996492
"1","122","Stratum_1"," [kg]",59509421.7311581,6396800.92484805,0.107492238014788
"1","123","Stratum_1"," [kg]",52092198.7893836,5658040.00287392,0.10861587981245
"1","124","Stratum_1"," [kg]",51996327.563133,4748085.36064204,0.0913157829248035
"1","125","Stratum_1"," [kg]",52138418.9514458,5927635.44570451,0.113690356648993
"1","126","Stratum_1"," [kg]",55275707.3853748,7284440.48005684,0.131783758627831
"1","127","Stratum_1"," [kg]",46452375.6154214,4995976.9741735,0.107550516157346
"1","128","Stratum_1"," [kg]",49779432.4217444,5195347.91142888,0.10436735934256
"1","129","Stratum_1"," [kg]",48461952.82552,4394220.57419604,0.0906736175080844
"1","130","Stratum_1"," [kg]",51880423.5636864,6440225.91916371,0.124135954889766
"1","131","Stratum_1"," [kg]",42596796.5428602,5121236.55171371,0.120225861270126
"1","132","Stratum_1"," [kg]",44338509.2793436,5143327.99524903,0.11600137394888
"1","133","Stratum_1"," [kg]",44566681.9843778,5025035.80572263,0.112753195480967
"1","134","Stratum_1"," [kg]",49136553.8953723,5779891.98547142,0.117629168658809
"1","135","Stratum_1"," [kg]",44182446.5455533,5311405.38275983,0.120215284531236
"1","136","Stratum_1"," [kg]",45238109.1571523,6282408.19487657,0.13887424368362
"1","137","Stratum_1"," [kg]",44759452.0872485,4522732.53192908,0.101045305986164
"1","138","Stratum_1"," [kg]",48649919.33686,5633010.703142,0.115786640140924
"1","139","Stratum_1"," [kg]",42814598.213903,5498185.72591875,0.128418482370187
"1","140","Stratum_1"," [kg]",46455841.1764337,6378422.58673013,0.137300766172883
"1","141","Stratum_1"," [kg]",47995152.6659092,5506344.49361737,0.114727096128783
"1","142","Stratum_1"," [kg]",53960149.6562326,6561901.82777974,0.121606442339098
"1","143","Stratum_1"," [kg]",44497428.4405209,5055729.86043729,0.113618472743773
"1","144","Stratum_1"," [kg]",51406846.7015589,5037717.4988373,0.0979970144460259
"1","145","Stratum_1"," [kg]",53780897.4769943,5002377.2882415,0.0930140165545091
"1","146","Stratum_1"," [kg]",61030999.726001,7962635.23304412,0.130468700640534
"1","147","Stratum_1"," [kg]",48511420.4194798,5761013.9719805,0.118755829496742
"1","148","Stratum_1"," [kg]",50282967.3863939,5666657.6507195,0.11269537072414
"1","149","Stratum_1"," [kg]",50630734.9111609,5739906.1999675,0.113368020630927
"1","150","Stratum_1"," [kg]",51372785.6309042,6514306.96379783,0.126804627854929
"1","151","Stratum_1"," [kg]",53210928.2344999,7329333.19159848,0.137741126396033
"1","152","Stratum_1"," [kg]",52147831.0797662,6783188.66493738,0.130076141701113
"1","153","Stratum_1"," [kg]",46314085.7657978,5726861.18416397,0.123652687718456
