"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
81,1,1,46795.2089538436,0.0807683984476461,3779.5740822249
82,1,1,48356.1152346046,0.0825936987207699,3993.91041299377
83,1,1,45182.4432113678,0.0819274089436327,3701.6805020502
84,1,1,45673.207534039,0.0912205559331171,4166.33538250366
85,1,1,43288.342971379,0.0970502776640227,4201.14570498778
86,1,1,42412.5496004267,0.0942136678602948,3995.84186116288
87,1,1,42625.609651702,0.0803712582128342,3425.87387979642
88,1,1,42759.0142650465,0.0700719000896204,2996.20537551099
89,1,1,42875.1821402381,0.0788217738121279,3379.49790881164
90,1,1,42194.5018285242,0.0849246402709245,3583.35288919828
91,1,1,44361.3560733301,0.0862185211476446,3824.7705167466
92,1,1,42411.7267268925,0.0734942715915219,3117.01896273165
93,1,1,43153.8794158606,0.111589359876543,4815.51378020542
94,1,1,45919.1090293665,0.0980284892217208,4501.38088455627
95,1,1,52321.2716708803,0.0749208788161794,3919.95565436242
96,1,1,51509.259166941,0.0909181599194024,4683.12706226989
97,1,1,49875.4944282012,0.0925700665099022,4616.97783643283
98,1,1,55535.6207608006,0.12550675445821,6970.09551851004
99,1,1,52675.9484074319,0.0850785619580215,4481.59394027924
100,1,1,47982.7846020571,0.112768991225387,5410.97021575901
101,1,1,57419.2657801598,0.128064163566831,7353.35024475771
102,1,1,64081.4874815717,0.142129982646539,9107.90070372018
103,1,1,42889.2541847358,0.119711992350605,5134.35806888626
104,1,1,50519.8538304039,0.116849836941657,5903.23668239907
105,1,1,47144.4449619868,0.11139748397767,5251.77255228908
106,1,1,47838.6743786742,0.127362076648613,6092.83291298476
107,1,1,34615.8462970735,0.102765419675051,3557.31197212582
108,1,1,37983.1626828612,0.0973944624245796,3699.34971068262
109,1,1,41722.2908826322,0.10877715445908,4538.43207972675
110,1,1,40190.7031530046,0.104663920670371,4206.51656649252
111,1,1,38552.3817838112,0.0988209323581337,3809.78231250295
112,1,1,37611.0784502482,0.103650811801193,3898.41881408659
113,1,1,38653.2458811316,0.103512072852425,4001.0776036304
114,1,1,39620.0259741624,0.125809401098125,4984.57173930154
115,1,1,36047.1645708725,0.123546944439294,4453.51703843167
116,1,1,40554.8347471046,0.0922922070122005,3742.89520382536
117,1,1,42621.5359705588,0.0795830410519278,3391.9514468412
118,1,1,49038.4175251498,0.122566159948705,6010.4505260189
119,1,1,42662.8653299585,0.069995542655311,2986.2104100009
120,1,1,40978.1579483685,0.0714858055130395,2929.35662937969
121,1,1,42731.0467128912,0.0788325336347503,3368.59667724209
122,1,1,45829.4674996285,0.0941674118585141,4315.64234129391
123,1,1,41412.653980161,0.0892204472906975,3694.85551160485
124,1,1,41805.1686783972,0.0712234509393866,2977.5083803786
125,1,1,44192.1347194393,0.0966280555916131,4270.20005038203
126,1,1,43201.0752583876,0.108298390810935,4678.60693178548
127,1,1,43787.5810576264,0.0969876264849579,4246.85355629689
128,1,1,42395.1978290703,0.0983121114706192,4167.96141479051
129,1,1,44733.4220177891,0.0737763341235818,3300.26788927559
130,1,1,47172.4669753891,0.113702204016761,5363.61346400958
131,1,1,40567.4842875768,0.108466571926067,4400.21595233802
132,1,1,48051.1743394972,0.0944202743367063,4537.00506333623
133,1,1,45620.3305950417,0.0884127862426103,4033.42053721664
134,1,1,47625.3373608643,0.0972523776927187,4631.67729676193
135,1,1,44239.7998905672,0.096611932781117,4274.09257327754
136,1,1,39927.1639457119,0.114448790710027,4569.61563006772
137,1,1,42107.6861581015,0.0947722372699178,3990.63962346282
138,1,1,44245.1792011196,0.0910106173496919,4026.78107384164
139,1,1,36040.3102368869,0.106640083644594,3843.34169823873
140,1,1,37178.3518676859,0.106998724517493,3978.03622950495
141,1,1,41156.0633345239,0.0750933344311797,3090.54602785022
142,1,1,42336.9642187146,0.147849183224142,6259.48557992668
143,1,1,38036.4995645846,0.106606745423256,4054.94742587344
144,1,1,39384.6859561636,0.0829486383672739,3266.90607258646
145,1,1,43188.2844311023,0.0787600470417694,3401.51131344693
146,1,1,52284.9443729522,0.116822867889172,6108.07714907409
147,1,1,45578.8569610158,0.0990143024915194,4512.95873035572
148,1,1,43696.362640614,0.0868462320320371,3794.8644488428
149,1,1,45812.7004200599,0.0947165585483479,4339.22132159453
150,1,1,45528.876803224,0.106543892516866,4850.82375653633
151,1,1,44673.1678453247,0.121563159645792,5430.61143466449
152,1,1,41366.6114906434,0.107196294676946,4434.34747513772
153,1,1,38038.2848483275,0.088258297743437,3357.19426979336
154,1,1,44626.9494844036,0.131985418216805,5890.10659143924
155,1,1,45251.8712722643,0.126594494404427,5728.6377645665
156,1,1,42871.3322720525,0.110597047042247,4741.44275205599
157,1,1,39605.1802201546,0.0852227872678115,3375.26384860558
158,1,1,38300.996784964,0.124224285856058,4757.91397318732
159,1,1,40801.8430466261,0.110793451858258,4520.57703331459
160,1,1,39372.6101999282,0.111776322319339,4400.92556826087
161,1,1,33929.8048765553,0.0720043665132034,2443.09410605297
