"Year","N"
81,2
82,1
84,2
85,3
88,3
89,2
92,1
93,3
94,1
95,1
96,4
97,5
98,1
101,1
102,1
105,2
107,1
108,1
109,2
111,1
113,2
115,1
117,2
120,2
121,4
122,3
123,2
124,5
125,2
126,2
127,2
128,2
129,4
130,1
131,2
132,1
133,4
134,3
135,1
137,3
138,2
139,1
140,1
141,3
142,2
144,3
145,3
146,2
147,1
148,1
149,2
150,2
153,2
156,2
157,4
159,2
161,3
162,1
164,1
165,1
166,1
172,1
174,1
176,1
178,1
182,1
184,1
186,3
187,1
189,1
194,1
195,2
197,1
198,1
199,1
200,1
203,1
204,2
205,1
211,1
212,1
214,1
215,1
217,2
218,1
219,3
220,2
221,3
222,1
223,2
224,3
225,3
226,1
231,1
232,1
238,1
