"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,81,1,1,0,NA,NA
1,82,1,1,0,NA,NA
1,83,1,1,0,NA,NA
1,84,1,1,0,NA,NA
1,85,1,1,0,NA,NA
1,86,1,1,0,NA,NA
1,87,1,1,0,NA,NA
1,88,1,1,0,NA,NA
1,89,1,1,0,NA,NA
1,90,1,1,0,NA,NA
1,91,1,1,0,NA,NA
1,92,1,1,0,NA,NA
1,93,1,1,292.500989138398,1.11992837133258,327.580156378935
1,94,1,1,0,NA,NA
1,95,1,1,613.330262009189,0.523066847435692,320.812726586054
1,96,1,1,0,NA,NA
1,97,1,1,87.4189416463121,1.10518114233269,96.6137657901863
1,98,1,1,0,NA,NA
1,99,1,1,0,NA,NA
1,100,1,1,0,NA,NA
1,101,1,1,740.133434635082,0.293767869029052,217.427421889902
1,102,1,1,0,NA,NA
1,103,1,1,0,NA,NA
1,104,1,1,0,NA,NA
1,105,1,1,0,NA,NA
1,106,1,1,0,NA,NA
1,107,1,1,0,NA,NA
1,108,1,1,430.326169019148,0.539199470865614,232.031642634751
1,109,1,1,0,NA,NA
1,110,1,1,0,NA,NA
1,111,1,1,0,NA,NA
1,112,1,1,0,NA,NA
1,113,1,1,0,NA,NA
1,114,1,1,0,NA,NA
1,115,1,1,0,NA,NA
1,116,1,1,0,NA,NA
1,117,1,1,0,NA,NA
1,118,1,1,0,NA,NA
1,119,1,1,0,NA,NA
1,120,1,1,0,NA,NA
1,121,1,1,0,NA,NA
1,122,1,1,0,NA,NA
1,123,1,1,0,NA,NA
1,124,1,1,0,NA,NA
1,125,1,1,0,NA,NA
1,126,1,1,393.589608921998,0.992618467392288,390.684314389683
1,127,1,1,0,NA,NA
1,128,1,1,0,NA,NA
1,129,1,1,148.890614275237,0.98803835450562,147.109637529836
1,130,1,1,0,NA,NA
1,131,1,1,0,NA,NA
1,132,1,1,0,NA,NA
1,133,1,1,0,NA,NA
1,134,1,1,0,NA,NA
1,135,1,1,2621.79129926864,0.650577937210564,1705.6795752748
1,136,1,1,0,NA,NA
1,137,1,1,215.084167694935,1.02081796902371,219.561783235498
1,138,1,1,0,NA,NA
1,139,1,1,0,NA,NA
1,140,1,1,0,NA,NA
1,141,1,1,221.057250229046,0.94457930306148,208.806103358039
1,142,1,1,0,NA,NA
1,143,1,1,0,NA,NA
1,144,1,1,370.408082855187,0.487879896820415,180.714657244836
1,145,1,1,0,NA,NA
1,146,1,1,0,NA,NA
1,147,1,1,0,NA,NA
1,148,1,1,0,NA,NA
1,149,1,1,586.384735316935,0.840751796167801,493.004019463094
1,150,1,1,622.695928625451,0.961590455626234,598.778461723549
1,151,1,1,0,NA,NA
1,152,1,1,0,NA,NA
1,153,1,1,0,NA,NA
1,154,1,1,0,NA,NA
1,155,1,1,0,NA,NA
1,156,1,1,0,NA,NA
1,157,1,1,192.126748291957,0.954955691440621,183.472531759384
1,158,1,1,0,NA,NA
1,159,1,1,0,NA,NA
1,160,1,1,0,NA,NA
1,161,1,1,0,NA,NA
1,162,1,1,0,NA,NA
1,163,1,1,0,NA,NA
1,164,1,1,0,NA,NA
1,165,1,1,337.600388218715,0.539199470865614,182.033950691557
1,166,1,1,0,NA,NA
1,167,1,1,0,NA,NA
1,168,1,1,0,NA,NA
1,169,1,1,0,NA,NA
1,170,1,1,0,NA,NA
1,171,1,1,0,NA,NA
1,172,1,1,0,NA,NA
1,173,1,1,0,NA,NA
1,174,1,1,0,NA,NA
1,175,1,1,0,NA,NA
1,176,1,1,0,NA,NA
1,177,1,1,0,NA,NA
1,178,1,1,0,NA,NA
1,179,1,1,0,NA,NA
1,180,1,1,0,NA,NA
1,181,1,1,0,NA,NA
1,182,1,1,0,NA,NA
1,183,1,1,0,NA,NA
